survived,deck,embarked,pclass,embark_town,sex,adult_male,who,wspd,lfwa,class,tprc,sibsp,alone,fare,parch
0.0,,S,1.0,Southampton,male,True,man,0.08039045716654732,0.2711736617240512,Third,0.01415105756220805,0.125,False,0.014151057562208049,0.0
1.0,C,C,0.0,Cherbourg,female,False,woman,0.1406927222703803,0.4722292033174164,First,0.13913573538264068,0.125,False,0.13913573538264068,0.0
1.0,,S,1.0,Southampton,female,False,woman,0.09546602344250556,0.32143754712239253,Third,0.015468569817999833,0.0,True,0.015468569817999833,0.0
1.0,C,S,0.6479543292102758,Southampton,female,False,woman,0.16707496325330723,0.4345312892686604,First,0.10364429745562036,0.06417624521072797,False,0.10364429745562033,0.0
0.0,,S,1.0,Southampton,male,True,man,0.8831643613613236,0.4345312892686604,Third,0.015712553569072387,0.0,True,0.015712553569072387,0.06014075495841331
0.0,,Q,1.0,Queenstown,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.016509502093575774,0.0,True,0.06268686668393536,0.0
0.0,E,S,0.0,Southampton,male,True,man,0.20099498737421326,0.6732847449107816,First,0.10122885832000206,0.0,True,0.10122885832000206,0.0
0.0,,S,1.0,Southampton,male,False,child,0.7587909395846681,0.01985423473234481,Third,0.04113566043083236,0.375,False,0.04113566043083236,0.16666666666666666
1.0,,S,1.0,Southampton,female,False,woman,0.09923491501149512,0.33400351847197784,Third,0.0217307543665284,0.0,False,0.021730754366528396,0.3333333333333333
1.0,,C,0.5,Cherbourg,female,False,child,0.050239324614630834,0.17064589092736868,Second,0.05869429265402011,0.125,False,0.06268686668393536,0.0
1.0,G,S,1.0,Southampton,female,False,child,0.012550408924735235,0.04498617743151546,Third,0.03259622914329302,0.125,False,0.03259622914329302,0.16666666666666666
1.0,C,S,0.6479543292102758,Southampton,female,False,woman,0.9698488674480835,0.723548630309123,First,0.05182214872781017,0.0,True,0.051822148727810165,0.0
0.0,,S,1.0,Southampton,male,True,man,0.0728526740285682,0.24604171902488062,Third,0.015712553569072387,0.06417624521072797,True,0.015712553569072387,0.0
0.0,,S,1.0,Southampton,male,True,man,0.14446161383936984,0.4847951746670017,Third,0.061044734518352656,0.125,False,0.06268686668393536,0.8333333333333333
0.0,,S,1.0,Southampton,female,False,child,0.050239324614630834,0.17064589092736868,Third,0.01533037742139234,0.06417624521072797,True,0.015330377421392339,0.0
1.0,,S,0.5,Southampton,female,False,woman,0.2047638789432028,0.685850716260367,Second,0.03122992013728673,0.0,True,0.03122992013728673,0.0
0.0,,Q,1.0,Queenstown,male,False,child,0.005012625786756115,0.01985423473234481,Third,0.05684821399990475,0.5,False,0.05684821399990475,0.16666666666666666
1.0,,S,0.5,Southampton,male,True,man,0.24138176409035003,0.37185022227837156,Second,0.025374310111545468,0.0,True,0.025374310111545468,0.06014075495841331
0.0,,S,1.0,Southampton,female,False,woman,0.11431048128745336,0.38426740387031916,Third,0.03513366015444758,0.125,False,0.03513366015444757,0.0
1.0,,C,1.0,Cherbourg,female,False,woman,0.24138176409035003,0.37185022227837156,Third,0.01410226081199354,0.0,True,0.014102260811993537,0.0
0.0,,S,0.5,Southampton,male,True,man,0.16707496325330723,0.4345312892686604,Second,0.05074862022309094,0.0,True,0.050748620223090936,0.0
1.0,D,S,0.5,Southampton,male,True,man,0.12561715599442205,0.4219653179190751,Second,0.025374310111545468,0.0,True,0.025374310111545468,0.0
1.0,,Q,1.0,Queenstown,female,False,child,0.091697131873516,0.18321186227695402,Third,0.015671954672893913,0.0,True,0.015671954672893913,0.0
1.0,A,S,0.0,Southampton,male,True,man,0.10300380658048468,0.34656948982156316,First,0.06929138530460494,0.0,True,0.06929138530460494,0.0
0.0,,S,1.0,Southampton,female,False,child,0.027625975200693476,0.09525006282985675,Third,0.04113566043083236,0.375,False,0.04113566043083236,0.16666666666666666
1.0,,S,1.0,Southampton,female,False,woman,0.1406927222703803,0.4722292033174164,Third,0.06126431989431795,0.125,False,0.06126431989431795,0.8333333333333333
0.0,,C,1.0,Cherbourg,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.01410226081199354,0.0,True,0.014102260811993537,0.0
0.0,C,S,0.0,Southampton,male,True,man,0.8228620962574906,0.2334757476752953,First,0.5133418122566507,0.06417624521072797,False,0.5133418122566507,0.3333333333333333
1.0,,Q,1.0,Queenstown,female,False,woman,0.24138176409035003,0.37185022227837156,Third,0.01537917417160685,0.0,True,0.01537917417160685,0.0
0.0,,S,1.0,Southampton,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.015411575213749286,0.06417624521072797,True,0.015411575213749286,0.0
0.0,,C,0.0,Cherbourg,male,True,man,0.9020088192062714,0.49736114601658704,First,0.054107398133856136,0.0,True,0.05410739813385612,0.0
1.0,B,C,0.0,Cherbourg,female,False,woman,0.24138176409035003,0.37185022227837156,First,0.2859895551532101,0.06417624521072797,False,0.06268686668393536,0.06014075495841331
1.0,,Q,1.0,Queenstown,female,False,woman,0.24138176409035003,0.37185022227837156,Third,0.01512699256649826,0.0,True,0.015126992566498259,0.0
0.0,,S,0.5,Southampton,male,True,man,1.0,0.8240764011058055,Second,0.02049463509009442,0.0,True,0.020494635090094415,0.0
0.0,,C,0.0,Cherbourg,male,True,man,0.1406927222703803,0.34656948982156316,First,0.16038672010106003,0.125,False,0.16038672010106003,0.06014075495841331
0.0,,S,0.0,Southampton,male,True,man,0.19345720423623414,0.5224930887157577,First,0.10149724044618189,0.125,False,0.10149724044618187,0.0
1.0,,C,1.0,Cherbourg,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.014110458666029578,0.0,True,0.014110458666029575,0.0
0.0,,S,1.0,Southampton,male,True,man,0.8303998793954698,0.2586076903744659,Third,0.015712553569072387,0.0,True,0.015712553569072387,0.0
0.0,,S,1.0,Southampton,female,False,woman,0.06531489089058908,0.22090977632571,Third,0.03513366015444758,0.25,False,0.03513366015444757,0.06014075495841331
1.0,,C,1.0,Cherbourg,female,False,child,0.050239324614630834,0.17064589092736868,Third,0.021942337075458514,0.125,False,0.021942337075458514,0.0
0.0,,S,0.6479543292102758,Southampton,female,False,woman,0.14823050540835941,0.49736114601658704,Third,0.018493968331299487,0.125,False,0.018493968331299484,0.0
0.0,,S,0.5,Southampton,female,False,woman,0.09923491501149512,0.33400351847197784,Second,0.04098927018018883,0.125,False,0.04098927018018883,0.0
0.0,,C,0.6479543292102758,Cherbourg,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.015411575213749286,0.0,True,0.015411575213749286,0.0
1.0,,C,0.5,Cherbourg,female,False,child,0.008781517355745675,0.032420206081930136,Second,0.08115719346076704,0.06417624521072797,False,0.08115719346076702,0.3333333333333333
1.0,,Q,1.0,Queenstown,female,False,woman,0.06908378245957864,0.2334757476752953,Third,0.01537917417160685,0.0,True,0.01537917417160685,0.0
0.0,,S,1.0,Southampton,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.015712553569072387,0.06417624521072797,True,0.015712553569072387,0.0
0.0,,Q,1.0,Queenstown,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.030253985132996524,0.125,False,0.030253985132996517,0.0
0.0,,C,1.0,Cherbourg,male,True,man,0.24138176409035003,0.37185022227837156,Third,0.04231498029001665,0.25,False,0.04231498029001666,0.0
0.0,,S,1.0,Southampton,female,False,woman,0.8190932046885011,0.22090977632571,Third,0.03474328615273149,0.125,False,0.034743286152731485,0.0
0.0,,S,1.0,Southampton,male,False,child,0.023857083631703916,0.08268409148027142,Third,0.07746484096553545,0.5,False,0.06268686668393536,0.16666666666666666
0.0,,S,1.0,Southampton,male,True,man,0.11431048128745336,0.2586076903744659,Third,0.015224586066927281,0.0,True,0.01522458606692728,0.0
1.0,D,C,0.0,Cherbourg,female,False,woman,0.18215052952926547,0.610454888162855,First,0.14976542426236883,0.125,False,0.1497654242623688,0.0
1.0,,S,0.5,Southampton,female,False,woman,0.10677269814947424,0.35913546117114853,Second,0.05074862022309094,0.125,False,0.050748620223090936,0.0
